"fctr","Estimate","Std. Error","aprx","aprxSe","lo","hi"
"Renter",1.49297939795,0.0271074644699928,37.32448494875,0.677686611749821,35.9962191897203,38.6527507077796
"Multifamily",0.748127471293399,0.0237450008448945,18.703186782335,0.593625021122363,17.5396817409352,19.8666918237348
"LMI",0.638074856018387,0.0167846212719079,15.9518714004597,0.419615531797698,15.1294249581362,16.7743178427832
"Non-White
or Hispanic",-1.67174067332239,0.018476298423119,-41.7935168330599,0.461907460577974,-42.6988554557927,-40.888178210327
